week_start,total_wei,total_tokens,usd_amount,usd_amount_formatted
2024-12-30,1000,0.00001000,0.00,$0.00
2025-01-06,911861010396124,9118610.10396124,423012322.72,"$423,012,322.72"
2025-01-13,562806652811820,5628066.52811820,261086006.24,"$261,086,006.24"
2025-01-20,729634775245069,7296347.75245069,338477572.24,"$338,477,572.24"
2025-01-27,630392757438893,6303927.57438893,292439200.18,"$292,439,200.18"
2025-02-03,715642625965262,7156426.25965262,331986614.19,"$331,986,614.19"
2025-02-10,672514999584281,6725149.99584281,311979708.31,"$311,979,708.31"
2025-02-17,341114823668821,3411148.23668821,158243166.70,"$158,243,166.70"
2025-02-24,563354915835697,5633549.15835697,261340345.46,"$261,340,345.46"
2025-03-03,734384527693872,7343845.27693872,340680982.40,"$340,680,982.40"
2025-03-10,625350363657774,6253503.63657774,290100033.70,"$290,100,033.70"
2025-03-17,573676507104495,5736765.07104495,266128531.65,"$266,128,531.65"
2025-03-24,463609555695715,4636095.55695715,215068472.89,"$215,068,472.89"
2025-03-31,509317289781104,5093172.89781104,236272290.73,"$236,272,290.73"
2025-04-07,318838946549163,3188389.46549163,147909387.30,"$147,909,387.30"
2025-04-14,744223409264620,7442234.09264620,345245239.56,"$345,245,239.56"
2025-04-21,433371430068398,4333714.30068398,201041006.41,"$201,041,006.41"
2025-04-28,423647242409728,4236472.42409728,196529955.75,"$196,529,955.75"
2025-05-05,266968259690209,2669682.59690209,123846575.67,"$123,846,575.67"
2025-05-12,410262479087562,4102624.79087562,190320764.05,"$190,320,764.05"
2025-05-19,288889666517715,2888896.66517715,134015916.30,"$134,015,916.30"
2025-05-26,658118189299935,6581181.89299935,305301028.02,"$305,301,028.02"
2025-06-02,451876090817832,4518760.90817832,209625318.53,"$209,625,318.53"
2025-06-09,258862142881855,2588621.42881855,120086148.08,"$120,086,148.08"
2025-06-16,378229960144219,3782299.60144219,175460878.51,"$175,460,878.51"
2025-06-23,609223432175418,6092234.32175418,282618750.19,"$282,618,750.19"
2025-06-30,196146396993321,1961463.96993321,90992313.57,"$90,992,313.57"
2025-07-07,281735394457605,2817353.94457605,130697049.49,"$130,697,049.49"
2025-07-14,648276536336480,6482765.36336480,300735485.21,"$300,735,485.21"
2025-07-21,529129951479793,5291299.51479793,245463384.49,"$245,463,384.49"
