"[1748563200, 1]"
"[1748649600, 0]"
"[1748736000, 0]"
"[1748822400, 0]"
"[1748908800, 6]"
"[1748995200, 9]"
"[1749081600, 16]"
"[1749168000, 10]"
"[1749254400, 5]"
"[1749340800, 8]"
"[1749427200, 151]"
"[1749513600, 374]"
"[1749600000, 952]"
"[1749686400, 1361]"
"[1749772800, 2698]"
"[1749859200, 1273]"
"[1749945600, 1039]"
"[1750032000, 1508]"
"[1750118400, 1935]"
"[1750204800, 2245]"
"[1750291200, 1660]"
"[1750377600, 1634]"
"[1750464000, 1682]"
"[1750550400, 2644]"
"[1750636800, 3832]"
"[1750723200, 2756]"
"[1750809600, 2074]"
"[1750896000, 1719]"
"[1750982400, 1229]"
"[1751068800, 667]"
"[1751155200, 1036]"
"[1751241600, 1994]"
"[1751328000, 1477]"
"[1751414400, 1521]"
"[1751500800, 2511]"
"[1751587200, 2482]"
"[1751673600, 1987]"
"[1751760000, 2279]"
"[1751846400, 3612]"
"[1751932800, 5082]"
"[1752019200, 6318]"
"[1752105600, 5949]"
"[1752192000, 6287]"
"[1752278400, 5104]"
"[1752364800, 5258]"
"[1752451200, 8598]"
"[1752537600, 8000]"
"[1752624000, 6586]"
"[1752710400, 7911]"
"[1752796800, 6608]"
"[1752883200, 5237]"
"[1752969600, 7702]"
"[1753056000, 11650]"
"[1753142400, 13948]"
"[1753228800, 10807]"
"[1753315200, 3529]"
