2025-06-10,216260
2025-06-11,395921
2025-06-12,477885
2025-06-13,924853
2025-06-14,438669
2025-06-15,358338
2025-06-16,528498
2025-06-17,662654
2025-06-18,777313
2025-06-19,575368
2025-06-20,559044
2025-06-21,569932
2025-06-22,907051
2025-06-23,1315955
2025-06-24,949812
2025-06-25,727464
2025-06-26,612770
2025-06-27,545836
2025-06-28,479427
2025-06-29,481827
2025-06-30,844498
2025-07-01,649395
2025-07-02,1027815
2025-07-03,1760652
2025-07-04,1720068
2025-07-05,1457886
2025-07-06,1632253
2025-07-07,2430454
2025-07-08,3117769
2025-07-09,4021387
2025-07-10,3902128
2025-07-11,6396242
2025-07-12,5624588
2025-07-13,4506793
2025-07-14,5466268
2025-07-15,8518531
2025-07-16,5598737
2025-07-17,6163540
2025-07-18,4382755
2025-07-19,4837502
2025-07-20,4649197
2025-07-21,6789417
2025-07-22,7875242
2025-07-23,6309038
